experiment,cider,bleu
experiment_1,0.2606875117689187,0.0959736450486445
experiment_3,0.2981302447682253,0.1022191922971286
experiment_4,0.1738657201566537,0.083389804134781
experiment_2,0.2790313908743794,0.1512264528769221
experiment_5,0.1512298154815664,0.10381681892297218
experiment_6,0.3113,0.1572
